Organisation,KvK number,clean_name
Metaco Europe B.V.,67880584.0,metaco
MetaFactory B.V.,63064707.0,metafactory
Metaflex Doors Europe B.V.,9052999.0,metaflex doors
Metafoor Detachering B.V.,39076758.0,metafoor detachering
Metal Radar B.V.,52400093.0,metal radar
METAL YAPI NL B.V.,72601264.0,metal yapi nl
Metalcon B.V.,58382666.0,metalcon
Metalot Future Energy Lab B.V.,78324572.0,metalot future energy lab
MetaMeta Communications B.V.,17167598.0,metameta communications
MetaMeta Research B.V.,17167588.0,metameta research
Metapol,8081641.0,metapol
MetaSensing B.V.,53828984.0,metasensing
Meta-Skills B.V.,87289652.0,metaskills
"METAWATER Co., Ltd.",60988568.0,metawater co ltd
Meteenzorg B.V.,72111151.0,meteenzorg
methetnet B.V.,66591880.0,methetnet
Metinvest B.V.,24321697.0,metinvest
Metrica Sports B.V.,60835869.0,metrica sports
Metrics Matter B.V.,85636770.0,metrics matter
MetrixLab Nederland B.V.,59608838.0,metrixlab
Metro Cash & Carry International Holding B.V.,33212405.0,metro cash carry international
Metro Cash & Carry Nederland B.V.,33166133.0,metro cash carry
Metrohm Autolab B.V.,30128927.0,metrohm autolab
Metrological Media Innovations B.V.,24429521.0,metrological media innovations
Mettler-Toledo B.V.,11014800.0,mettlertoledo
Mettom at Work B.V.,55587402.0,mettom at work
Mettom Heroes B.V.,76536041.0,mettom heroes
Metyis B.V.,57216258.0,metyis
Mews Systems B.V.,66426995.0,mews systems
Meyer Chiropractic B.V.,95845984.0,meyer chiropractic
Meyn Food Processing Technology B.V.,35015165.0,meyn food processing technology
M-Factory B.V.,67049664.0,mfactory
MGA Entertainment (Netherlands) B.V.,34238137.0,mga entertainment
MGC Specialty Chemicals Netherlands B.V.,81482701.0,mgc specialty chemicals
MGE-RB (Roermond) Management Co B.V.,34130585.0,mgerb roermond management co
MH Hydraulics B.V.,24232116.0,mh hydraulics
MH Poly Consultants & Engineers B.V.,24429486.0,mh poly consultants engineers
MHC Mobility B.V.,2037615.0,mhc mobility
MHI International Investment B.V.,34268419.0,mhi international investment
MI Company B.V.,65761855.0,mi company
MI Group B.V.,51942933.0,mi
MIB Management Services B.V.,30251748.0,mib management services
Michael Kors (Europe) B.V.,34301064.0,michael kors
Micreos Food Safety B.V.,51815613.0,micreos food safety
Micro Focus Nederland B.V.,66938813.0,micro focus
Micro Precision Calibration B.V.,68358318.0,micro precision calibration
MicroAlign B.V.,80387128.0,microalign
Microbe&Lab B.V.,70546932.0,microbelab
Microflown AVISA B.V.,51520109.0,microflown avisa
Microflown Maritime B.V.,56345054.0,microflown maritime
Microflown Technologies B.V.,28077207.0,microflown technologies
Microimage Europe B.V.,88630358.0,microimage
Micromeritics B.V.,55795544.0,micromeritics
Micronit Holding B.V.,8084537.0,micronit
MicroPort Scientific Coöperatief U.A.,58654631.0,microport scientific coperatief ua
Microsoft B.V.,34061536.0,microsoft
Microsoft Datacenter Netherlands B.V.,34143486.0,microsoft datacenter
Micro-Star Netherlands Holding,17108749.0,microstar
MicroSure B.V.,65436849.0,microsure
Microtek Medical B.V.,8124924.0,microtek medical
Middle Point B.V.,51745399.0,middle point
Midea Electrics Netherlands B.V.,34385360.0,midea electrics
midocean,9071860.0,midocean
Midtronics B.V.,30156863.0,midtronics
Miele X B.V.,76649288.0,miele x
Mieloo & Alexander B.V.,27194182.0,mieloo alexander
Mien Nam B.V.,78631564.0,mien nam
MIH Fintech Holdings B.V.,78070902.0,mih fintech holdings
MIH PayU B.V.,52117839.0,mih payu
Mijksenaar B.V.,33237870.0,mijksenaar
Mijn InternetOplossing B.V.,52643573.0,mijn internetoplossing
Mijn Sofie B.V.,80799655.0,mijn sofie
Mijndomein B.V.,27181493.0,mijndomein
Mikasa Europe B.V.,82375453.0,mikasa
Milabs B.V.,30207515.0,milabs
Milano Infra B.V.,27378436.0,milano infra
Milcare,30113778.0,milcare
Milence Netherlands B.V.,88184544.0,milence
Milence Research & Development B.V.,88168905.0,milence research development
Milence Service Holding B.V.,88168913.0,milence service
MILES international payrolling B.V.,54153670.0,miles international payrolling
Mileway B.V.,71555730.0,mileway
Milk Design B.V.,34207265.0,milk design
MillMobile B.V.,34383832.0,millmobile
Miltenyi Biotec B.V.,34129685.0,miltenyi biotec
Mimaki Europe B.V.,24357886.0,mimaki
Mimecast Netherlands B.V.,30214369.0,mimecast
Mimetas B.V.,53898737.0,mimetas
Mind Lane Consulting B.V.,81254261.0,mind lane consulting
Mind Your Step Recruitment B.V.,88765903.0,mind your step recruitment
MindAffect B.V.,59347198.0,mindaffect
Mindbus B.V.,27247757.0,mindbus
Mindray Animal Medical Technology Netherlands B.V.,85749044.0,mindray animal medical technology
Mindray Medical Netherlands B.V.,34280223.0,mindray medical
MindShare B.V.,34176517.0,mindshare
Mindwize B.V.,34166529.0,mindwize
Minerva Meettechniek B.V.,52794016.0,minerva meettechniek
Ministerie van Economische Zaken,52813150.0,ministerie van economische zaken
Minivalve International B.V.,8084350.0,minivalve international
MinPlus B.V.,8072750.0,minplus
"Minton, Treharne & Davies Holland B.V.",64163547.0,minton treharne davies holland
Mintres B.V.,17219845.0,mintres
MIR Architecten,34311985.0,mir architecten
MIRA Home B.V.,77289366.0,mira home
Mirantis Poland Sp. z o.o.,78018226.0,mirantis poland sp z oo
MIRhosting B.V.,63945630.0,mirhosting
Mirzacles IT & Consultancy B.V.,76015319.0,mirzacles it consultancy
Mission Produce Europe B.V.,56714424.0,mission produce
MisterGreen Products B.V.,34311690.0,mistergreen products
Mistras Group B.V.,27228724.0,mistras
Misuga Kaiun Holland B.V.,24453028.0,misuga kaiun holland
Misys Netherlands Global B.V.,33210232.0,misys global
Mitek Systems B.V.,34242857.0,mitek systems
Mitel Netherlands B.V.,34194082.0,mitel
Mitra Netherlands B.V.,77507738.0,mitra
Mitrofresh B.V.,51392437.0,mitrofresh
Mitsubishi Electric Automotive Europe,33304945.0,mitsubishi electric automotive
Mitsubishi Electric Europe B.V.,33279602.0,mitsubishi electric
Mitsubishi Elevator Europe B.V.,30022258.0,mitsubishi elevator
Mitsubishi Heavy Industries EMEA Ltd.,34109577.0,mitsubishi heavy industries emea ltd
Mitsubishi Logisnext Europe B.V.,33274459.0,mitsubishi logisnext
Mitsubishi Logistics Europe B.V.,24251379.0,mitsubishi logistics
Mitsubishi Materials Europe B.V.,33289752.0,mitsubishi materials
Mitsubishi Motors Europe B.V.,34081607.0,mitsubishi motors
Mitsubishi Nederland B.V.,24126464.0,mitsubishi
Mitsubishi Turbocharger and Engine Europe B.V.,39047752.0,mitsubishi turbocharger and engine
Mitsui Bussan Gas & Power Solutions B.V.,84300264.0,mitsui bussan gas power solutions
Mitsui Prime Advanced Composites Europe B.V.,71819053.0,mitsui prime advanced composites
Mitsui Rail Capital Europe B.V.,34214164.0,mitsui rail capital
Mitutoyo Research Center Europe B.V.,30182803.0,mitutoyo research center
MIURA NETHERLANDS B.V.,61725846.0,miura
Miyagami B.V.,83283927.0,miyagami
Mizkan AMS B.V.,81165005.0,mizkan ams
Mizuho Bank Europe N.V.,33138252.0,mizuho bank
Mizuno Corporation Netherlands,95559248.0,mizuno corporation
MKB Ondernemers B.V.,24379003.0,mkb ondernemers
MKBiT B.V.,68854897.0,mkbit
MKK Europe B.V.,33264839.0,mkk
ML Compliance Services B.V.,67136451.0,ml compliance services
ML Den Bosch B.V.,90715675.0,ml den bosch
MLA+ B.V.,54416469.0,mla
MLP Newco B.V.,75591480.0,mlp newco
MM Flowers Europe B.V.,58781803.0,mm flowers
MM Metal Recycling B.V.,66349389.0,mm metal recycling
MMD-Monitors & Displays Nederland B.V.,17237322.0,mmdmonitors displays
MM-Guide B.V.,30126062.0,mmguide
Mmid Full Service Design Team B.V.,27249749.0,mmid full service design team
MMR Research Worldwide B.V.,74153161.0,mmr research worldwide
MMS Communications Netherlands B.V.,34138132.0,mms communications
MN Logistics International B.V.,81660561.0,mn logistics international
Mn Services,27191631.0,mn services
MNX Global Logistics B.V.,55364241.0,mnx global logistics
Moba B.V.,9042296.0,moba
Mobeye,17218489.0,mobeye
MobielWerkt B.V.,2093714.0,mobielwerkt
Mobile Development Center B.V.,11029212.0,mobile development center
Mobile Operating B.V.,17213276.0,mobile operating
Mobile Payments Solutions B.V.,34155422.0,mobile payments solutions
MobileTrack B.V.,27298244.0,mobiletrack
Mobiquity B.V.,34270669.0,mobiquity
Mocean Forecast B.V.,70698708.0,mocean forecast
MOCEAN Offshore B.V.,58143998.0,mocean offshore
Moco Group B.V.,80740154.0,moco
MOCS B.V.,56449763.0,mocs
MODEC Services Netherlands B.V.,34236861.0,modec services
Modern Dental Europe B.V.,58901345.0,modern dental
MODIFI B.V.,73275905.0,modifi
Modulr Finance B.V.,81852401.0,modulr finance
Modus Engineering B.v.,69017034.0,modus engineering
ModusLink B.V.,8055138.0,moduslink
Mo-Jo Asian Kitchen B.V.,87644517.0,mojo asian kitchen
Moka United B.V.,95136665.0,moka united
Mokveld Valves B.V.,29010376.0,mokveld valves
MOL Chemical Tankers Europe Limited Rotterdam Branch,24332191.0,mol chemical tankers limited rotterdam branch
MOL Group International Services B.V.,61591572.0,mol international services
MOL Logistics Holding (Europe) B.V.,18088913.0,mol logistics
MOL Maritime (Europe) B.V.,24158925.0,mol maritime
Molco Car Parts B.V.,10028790.0,molco car parts
Moldex3D Europe B.V.,65867912.0,moldex3d
Molex Interconnect GmbH,17093991.0,molex interconnect gmbh
Mollie B.V.,30204462.0,mollie
Mölnlycke Health Care,30147276.0,mlnlycke health care
Moltek Consultants Ltd.,55665675.0,moltek consultants ltd
Momentive Performance Materials Silicones B.V.,20089608.0,momentive performance materials silicones
Momo Medical B.V.,68346832.0,momo medical
Monday Merch B.V.,86827677.0,monday merch
Mondcare Den Haag B.V.,27350459.0,mondcare den haag
Mondelez Nederland Services B.V.,34283945.0,mondelez services
Mondi Heerlen B.V.,14039569.0,mondi heerlen
Mondi Maastricht N.V.,14061186.0,mondi maastricht
Mondial Engineering,74703528.0,mondial engineering
Mondriaan,14068232.0,mondriaan
Mondu Financial Services B.V.,86653938.0,mondu financial services
Mondzorg Dogterom B.V.,24480928.0,mondzorg dogterom
Mondzorgcentrum Axel B.V.,80075134.0,mondzorgcentrum axel
MoneyView Research B.V.,33292632.0,moneyview research
MongoDB Netherlands B.V.,66500842.0,mongodb
Monkey and River B.V.,89310810.0,monkey and river
Monocle Solutions B.V.,80990290.0,monocle solutions
Monolith International B.V.,58730060.0,monolith international
Monotch B.V.,61837628.0,monotch
Monster Heads B.V.,67157963.0,monster heads
Mont Blanc Consulting B.V.,33305817.0,mont blanc consulting
Monta Services B.V.,11045086.0,monta services
Montachem International B.V.,65199537.0,montachem international
Montis-Q Qonsulting B.V.,71197621.0,montisq qonsulting
Montroos Administratie & Advieskantoor B.V.,93438273.0,montroos administratie advieskantoor
Monument Group Netherlands B.V.,86043749.0,monument
Monument London B.V.,34162704.0,monument london
Monumental Works B.V.,83429891.0,monumental works
MOOFpeople Payroll Solutions B.V.,59004401.0,moofpeople payroll solutions
Moog B.V.,28075621.0,moog
Moongy B.V.,59758104.0,moongy
Moonlight Bedding B.V.,82176981.0,moonlight bedding
MoonPay Europe B.V.,93501153.0,moonpay
Moonwatt B.V.,94912254.0,moonwatt
Moore DRV,24492873.0,moore drv
Moove Connected Mobility B.V.,24439644.0,moove connected mobility
Mora Produktie B.V.,14622196.0,mora produktie
More Optimal B.V.,68902107.0,more optimal
More Recruitment B.V.,57270155.0,more recruitment
Morgan Cargo (Netherlands) B.V.,64099598.0,morgan cargo
Morgan Clark & Co. B.V.,50459767.0,morgan clark co
Morimura Bros. (Europe) B.V.,32044630.0,morimura bros
Morito (Europe) B.V.,24153822.0,morito
Morningstar Holland,34139006.0,morningstar holland
Moro Fashion B.V.,78717167.0,moro fashion
Morpara B.V.,68552432.0,morpara
Morphotonics B.V.,60781246.0,morphotonics
Morrison Express Netherlands B.V.,24346605.0,morrison express
Morssinkhof Plastics Zeewolde B.V.,39082855.0,morssinkhof plastics zeewolde
Mosa Meat,66104742.0,mosa meat
Mosadex E-health B.V.,56810504.0,mosadex ehealth
Mosten Media B.V.,71523839.0,mosten media
Motek Medical B.V.,34263969.0,motek medical
Motel One Netherlands B.V.,56252331.0,motel one
MotherDuck,94098182.0,motherduck
Mothers Kitchen Almere,76329852.0,mothers kitchen almere
Motherson Global Investments B.V.,60670274.0,motherson global investments
Motivaction International B.V.,17090769.0,motivaction international
Motivz B.V.,76867838.0,motivz
Motorola Solutions Netherlands B.V.,17068204.0,motorola solutions
MotoShare P2P B.V.,63919524.0,motoshare p2p
Motus People B.V.,85778656.0,motus people
Mount Consulting B.V.,76468186.0,mount consulting
Mouthaan Boekdruk en Offset B.V.,23051520.0,mouthaan boekdruk en offset
Movado Group Nederland B.V.,34242495.0,movado
Move Mobility B.V.,56161719.0,move mobility
Move to Impact B.V.,81952716.0,move to impact
Move4U Web Applications B.V.,59834552.0,move4u web applications
Movella Technologies B.V.,50142224.0,movella technologies
MoveWell,66881013.0,movewell
Movexx International B.V.,11056889.0,movexx international
Movianto Nederland B.V.,55836151.0,movianto
Movic B.V.,30243164.0,movic
MP Liften B.V.,37089951.0,mp liften
MP Motorsport B.V.,20123519.0,mp motorsport
MPC Energy Solutions N.V.,78205123.0,mpc energy solutions
MPC Industries B.V.,1068545.0,mpc industries
MPC Nederland B.V.,57618720.0,mpc
MPC Shipping & Logistics B.V.,34263497.0,mpc shipping logistics
MPG Digital Solutions B.V.,54705347.0,mpg digital solutions
Mphasis Europe B.V.,34106059.0,mphasis
Mplora B.V.,52451038.0,mplora
Mploy Associates International B.V.,81324405.0,mploy associates international
MPloyee B.V.,12065735.0,mployee
M-Ployee HR Solutions B.V.,63027909.0,mployee hr solutions
MPR Accountants & Consultants B.V.,73956791.0,mpr accountants consultants
Mprise Agriware B.V.,24396187.0,mprise agriware
Mprise B.V.,30227907.0,mprise
M-Products B.V.,27235593.0,mproducts
MPX Administratie & Advies B.V.,61613207.0,mpx administratie advies
MQD B.V.,59162104.0,mqd
mr drs G.J. van Asperen Belastingadviseurs B.V.,70273553.0,mr drs gj van asperen belastingadviseurs
MR Marine Group B.V.,27295746.0,mr marine
MR MARVIS B.V.,63301520.0,mr marvis
MRC Global (Netherlands) B.V.,39054351.0,mrc global
MRC Holland B.V.,34204804.0,mrc holland
MS Amlin Marine N.V.,24448058.0,ms amlin marine
MS Europe B.V.,27154955.0,ms
MSC.Software Benelux B.V.,29035430.0,mscsoftware benelux
MSD FI,64803864.0,msd fi
MSD Human Health Holding B.V.,17131899.0,msd human health
msg global solutions Benelux B.V.,17193768.0,msg global solutions benelux
msg life Benelux B.V.,34262764.0,msg life benelux
Mshimbula B.V.,58313893.0,mshimbula
MSIG Europe SE,64815323.0,msig se
MSIG Insurance Europe AG Bijkantoor Nederland,59382287.0,msig insurance ag bijkantoor
MSL Cabling Limited,91730864.0,msl cabling limited
MSS DEFENCE,60132477.0,mss defence
MST Groep B.V.,81265212.0,mst groep
MSX International,30210212.0,msx international
mt unirepair B.V.,14636006.0,mt unirepair
MTD Holding B.V.,17187610.0,mtd
MTEX Holland B.V.,24190259.0,mtex holland
mtrl,67316905.0,mtrl
MTU Maintenance Lease Services B.V.,59043733.0,mtu maintenance lease services
MUD Jeans International B.V.,55383904.0,mud jeans international
Muehlhan B.V.,24218090.0,muehlhan
Muehlhan Wind Service B.V.,85026816.0,muehlhan wind service
MUFG Bank (Europe) N.V.,33132501.0,mufg bank
MUFG Securities (Europe) N.V.,71213376.0,mufg securities
Mujin Netherlands B.V.,91662451.0,mujin
Mulberry International B.V.,33144784.0,mulberry international
Mulcol International B.V.,65334094.0,mulcol international
Mulklé Metaal B.V.,74472690.0,mulkl metaal
Müller Martini Benelux B.V.,30175093.0,mller martini benelux
Mulligan International B.V.,34148354.0,mulligan international
Multi Corporation B.V.,34237857.0,multi corporation
Multi Pilot Simulations B.V.,30225758.0,multi pilot simulations
Multi Seeds B.V.,57371822.0,multi seeds
Multi Service Private Label B.V.,54189780.0,multi service private label
Multi Tank Card B.V.,34069864.0,multi tank card
MULTI.engineering Maritime & Offshore Project sourcing Netherlands,17173402.0,multiengineering maritime offshore project sourcing
MultiChoice Group Holdings B.V.,72799498.0,multichoice holdings
MultiFlexx B.V.,2059256.0,multiflexx
Multilayer B.V.,77188985.0,multilayer
Multimedia Education B.V.,33291946.0,multimedia education
MultiSafepay B.V.,34156361.0,multisafepay
Multitex Bedding B.V.,62066749.0,multitex bedding
Munksgaard Chiropraktie Zaandijk B.V.,34208153.0,munksgaard chiropraktie zaandijk
Munro B.V.,34254316.0,munro
Munters Netherlands B.V.,50307177.0,munters
MUR Shipping B.V.,34189953.0,mur shipping
MURATA ELECTRONICS EUROPE B.V.,34208762.0,murata electronics
Murmellius B.V.,66581257.0,murmellius
Musasino Marine And Offshore B.V.,65374290.0,musasino marine and offshore
Mush. Comb. B.V.,12062286.0,mush comb
Musoni Services B.V.,57480141.0,musoni services
Musqueteer,28117630.0,musqueteer
Mustad Netherlands B.V.,1111895.0,mustad
Mutares Benelux B.V.,84405244.0,mutares benelux
MV Corp B.V.,75732475.0,mv corp
MVRDV B.V.,52830357.0,mvrdv
MVSA B.V.,33174003.0,mvsa
MW Investment B.V.,88362027.0,mw investment
MWH Energy B.V.,83193642.0,mwh energy
M-Wise B.V.,28086064.0,mwise
MX3D B.V.,61981923.0,mx3d
MY.GAMES B.V.,56701527.0,mygames
Mybit B.V.,58287906.0,mybit
myBrand B.V.,34199445.0,mybrand
MyCumulus B.V.,88287165.0,mycumulus
Mylan Healthcare B.V.,61553069.0,mylan healthcare
MYLAPS B.V.,34053090.0,mylaps
MYLAPS Experience Lab B.V.,58217053.0,mylaps experience lab
Mylette B.V.,28088679.0,mylette
Myne Circular Metals B.V.,8104915.0,myne circular metals
Mynta Law B.V.,61369667.0,mynta law
Myon Forwarding & Customs B.V.,24319661.0,myon forwarding customs
MySocialDatabase.com B.V.,58951326.0,mysocialdatabasecom
MySolution B.V.,30202683.0,mysolution
Mystar Computer B.V.,17103906.0,mystar computer
Mystiek Productions,52263266.0,mystiek productions
N G Foods B.V.,82395322.0,n g foods
N.V. ADO Den Haag,27180758.0,ado den haag
N.V. Afvalzorg Holding,34081570.0,afvalzorg
N.V. Elektriciteits Produktiemaatschappij Zuid-Nederland EPZ,17059425.0,elektriciteits produktiemaatschappij zuid epz
N.V. Eneco,24246970.0,eneco
N.V. Juva,27225354.0,juva
N.V. Limburgs Instituut voor Ontwikkeling en Financiering ( Liof ),14604604.0,limburgs instituut voor ontwikkeling en financiering liof
N.V. Nederlandsch Octrooibureau,27263335.0,nederlandsch octrooibureau
N.V. Nederlandse Gasunie,2029700.0,nederlandse gasunie
N.V. Nutricia,27090548.0,nutricia
N.V. Organon,16032089.0,organon
N.V. PWN Waterleidingbedrijf Noord-Holland,34072007.0,pwn waterleidingbedrijf noordholland
N.V. Subaru Benelux,34045923.0,subaru benelux
Naaykens' Luchttechnische Apparatenbouw B.V.,18022242.0,naaykens luchttechnische apparatenbouw
N-able Acquisition Company B.V.,57964572.0,nable acquisition company
Nabtesco Marine Europe B.V.,24256085.0,nabtesco marine
Naess Ship Management B.V.,34226151.0,naess ship management
Naïf Care B.V.,57166692.0,naf care
Naktuinbouw,41150707.0,naktuinbouw
Nalco Europe B.V.,28057490.0,nalco
Nalog.nl B.V.,66449898.0,nalognl
Nankang Tire Netherlands B.V.,27363824.0,nankang tire
NanoCell Therapeutics B.V.,80176801.0,nanocell therapeutics
Nanomi B.V.,34270847.0,nanomi
NanoString Technologies Netherlands B.V.,82814651.0,nanostring technologies
Narrative Labs B.V.,70028176.0,narrative labs
NASA Holding B.V.,61062618.0,nasa
Nash Exchange B.V.,81156421.0,nash exchange
National Instruments Netherlands B.V.,30116813.0,national instruments
Nationale Postcode Loterij N.V.,41183598.0,nationale postcode loterij
Natural Life B.V.,72991828.0,natural life
Nature Bio Foods B.V.,70007284.0,nature bio foods
Naturel West Corp EU B.V.,34389173.0,naturel west corp eu
NatWest Markets N.V.,33002587.0,natwest markets
NautaDutilh N.V.,24338323.0,nautadutilh
Navaio B.V.,69516219.0,navaio
Navan Netherlands B.V.,71801375.0,navan
Navan Netherlands Labs B.V.,73188794.0,navan labs
Navbea B.V.,85677477.0,navbea
Navico Group EMEA B.V.,33230020.0,navico emea
Navigram Technologies B.V.,30160981.0,navigram technologies
NavInfo (Europe) B.V.,17262361.0,navinfo
Navis Netherlands B.V.,82100055.0,navis
Navitas Netherlands B.V.,72176571.0,navitas
Navquim B.V.,24366424.0,navquim
NAXCON B.V.,90530306.0,naxcon
NB Europe B.V.,34181833.0,nb
Ncardia Services B.V.,77260163.0,ncardia services
NCOI Opleidingen B.V.,32062944.0,ncoi opleidingen
NCR Dutch Holdings B.V.,34150777.0,ncr dutch holdings
NCR Nederland B.V.,33019902.0,ncr
ND Group B.V.,61543691.0,nd
Nearfield Instruments B.V.,65040007.0,nearfield instruments
Nebest B.V.,23046375.0,nebest
Nebig International B.V.,37089153.0,nebig international
Nebius B.V.,51515539.0,nebius
Nebras Power Investment Management B.V.,30125512.0,nebras power investment management
Nebras Power Netherlands B.V.,67282687.0,nebras power
Nebul B.V.,86737627.0,nebul
NEC Benelux,33189166.0,nec benelux
NEC BIO B.V,89641698.0,nec bio
Nectaerra B.V.,68046405.0,nectaerra
Nector Holdings B.V.,80425232.0,nector holdings
Nedair Freight B.V.,51834979.0,nedair freight
Nedal Aluminium B.V.,30019387.0,nedal aluminium
Nedap N.V.,8013836.0,nedap
Nedcon B.V.,9043438.0,nedcon
Nederland Sales & Service B.V.,51607417.0,sales service
Nederlands Centrum voor Informatie Management,27136540.0,nederlands centrum voor informatie management
Nederlands Dans Theater,41150184.0,nederlands dans theater
Nederlands Forensisch Instituut,50384511.0,nederlands forensisch instituut
Nederlands Instituut Publieke Veiligheid (NIPV / IFV),56802633.0,nederlands instituut publieke veiligheid nipv ifv
Nederlands Philharmonisch Orkest,41198970.0,nederlands philharmonisch orkest
Nederlandse Aardolie Maatschappij B.V.,4008869.0,nederlandse aardolie maatschappij
Nederlandse Financierings-Maatschappij voor Ontwikkelingslanden N.V.,27078545.0,nederlandse financieringsmaatschappij voor ontwikkelingslanden
Nederlandse Loterij Organisatie B.V.,65691288.0,nederlandse loterij organisatie
Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO,27376655.0,nederlandse organisatie voor toegepastnatuurwetenschappelijk onderzoek tno
Nederlandse provincie van de Congregatie van de Missionarissen van het Heilige Hart,63527669.0,nederlandse provincie van de congregatie van de missionarissen van het heilige hart
Nederlandse Rugby Bond,40516782.0,nederlandse rugby bond
Nederlandse Stichting voor Leprabestrijding,41199723.0,nederlandse stichting voor leprabestrijding
Nederlandse Voedsel- en Warenautoriteit,50688049.0,nederlandse voedsel en warenautoriteit
Nederlandse Waterschapsbank N.V.,27049562.0,nederlandse waterschapsbank
Nedflex B.V.,17186480.0,nedflex
NedLes B.V.,71291040.0,nedles
Nedmag B.V.,2331543.0,nedmag
Nedsa,27193802.0,nedsa
Nedscaper B.V.,75951282.0,nedscaper
Nedspice EMEA B.V.,24107228.0,nedspice emea
Nedstar B.V.,70866414.0,nedstar
NedTrain,30134311.0,nedtrain
Nedzon Engineering B.V.,24253107.0,nedzon engineering
Neele-Vat Services B.V.,24348291.0,neelevat services
Neele-Vat Transport B.V.,24262281.0,neelevat transport
Neelikon Specialities Europe B.V.,81268769.0,neelikon specialities
Neenah Coldenhove,8003231.0,neenah coldenhove
Neewee Netherlands B.V.,70932271.0,neewee
NEFAB PACKAGING NETHERLANDS B.V.,38018450.0,nefab packaging
NEG at Work B.V.,65209133.0,neg at work
Nekst IT B.V.,58226729.0,nekst it
Nelipak B.V.,12021271.0,nelipak
Nelissen & Van Alten Juristen B.V.,87725819.0,nelissen van alten juristen
Nelson Schoenen B.V.,34022079.0,nelson schoenen
NEM Energy B.V.,86238922.0,nem energy
Nemo Healthcare B.V.,17273687.0,nemo healthcare
Nemoto (Europe) B.V.,90859499.0,nemoto
Nemtek Europe B.V.,86012908.0,nemtek
NEO International B.V.,81246277.0,neo international
Neo Joule B.V.,75280663.0,neo joule
"Neo, Netherlands Geomatics & Earth Observation B.V.",39061153.0,neo geomatics earth observation
NeoBards Entertainment (Netherlands) B.V.,91471583.0,neobards entertainment
Neocles B.V.,61625949.0,neocles
Neogene Therapeutics B.V.,72498331.0,neogene therapeutics
Neogrid Netherlands B.V.,34106678.0,neogrid
Neople Labs B.V.,88917274.0,neople labs
NEP Media Solutions B.V.,32113537.0,nep media solutions
Neplus Financial Service,66378311.0,neplus financial service
Nepocon B.V.,8124935.0,nepocon
Neqsol Holding B.V.,86005154.0,neqsol
Nerds & Company B.V.,53044630.0,nerds company
NES Global B.V.,50223844.0,nes global
NEST Scientific Europe B.V.,86861182.0,nest scientific
Neste Components B.V.,24280381.0,neste components
Neste Netherlands B.V.,24432861.0,neste
Nestlé Nederland B.V.,33129581.0,nestl
Nestr B.V.,67304818.0,nestr
Net Display Systems B.V.,17085984.0,net display systems
net2grid B.V.,54122317.0,net2grid
Net4s B.V.,56094604.0,net4s
Netafim Netherlands B.V.,24196434.0,netafim
NetApp B.V.,34103846.0,netapp
NetApp Holding & Manufacturing B.V.,34235214.0,netapp manufacturing
NetAxis Nederland B.V.,64963896.0,netaxis
Netcapital B.V.,63657287.0,netcapital
Netcompany Netherlands B.V.,27239458.0,netcompany
Netconomy Netherlands B.V.,88550257.0,netconomy
NetEconomy B.V.,27159450.0,neteconomy
Netflix International B.V.,62266519.0,netflix international
Netgear Netherlands B.V.,24360451.0,netgear
Netherlandix C.V.,85609757.0,netherlandix cv
Netherlands center for the Clinical advancement of Stem cell & Gene Therapies B.V.,76859134.0,center for clinical advancement of stem cell gene therapies
Netherlands Food Partnership,30204842.0,food partnership
Netherlands Hexaware Technologies,34233511.0,hexaware technologies
Netlink B.V.,30114672.0,netlink
NetMatch B.V.,2062109.0,netmatch
NetQloud B.V.,67740073.0,netqloud
Netra Agro B.V.,20065860.0,netra agro
Nettleton House B.V.,77808584.0,nettleton house
Netvice B.V.,61755990.0,netvice
Network Intelligence Europe B.V.,80060153.0,network intelligence
Network Republic Europe B.V.,34347670.0,network republic
Network4Cars Trading B.V.,28094651.0,network4cars trading
Neuberger Berman Asset Management Ireland Limited (Dutch branch),74108166.0,neuberger berman asset management ireland limited dutch branch
Neuf Amsterdam B.V.,34342390.0,neuf amsterdam
Neufit International B.V.,56259530.0,neufit international
Neurocast B.V.,68265425.0,neurocast
Neutelings Riedijk Architecten B.V.,24182314.0,neutelings riedijk architecten
Neuvik B.V.,96795522.0,neuvik
Nevenactiviteiten B.V.,30217113.0,nevenactiviteiten
Nevesbu B.V.,30079428.0,nevesbu
New Balance Netherlands B.V.,66528925.0,new balance
New Black B.V.,64148793.0,new black
New Dawn Bio B.V.,94839778.0,new dawn bio
New Day at Work B.V.,55440215.0,new day at work
New Digitals B.V.,71974768.0,new digitals
New Electric B.V.,57661413.0,new electric
New Growth Plus B.V.,51379473.0,new growth plus
New Skies Satellites B.V.,30146277.0,new skies satellites
NewAmsterdam Pharma Company N.V.,86649051.0,newamsterdam pharma company
NewArmstrong B.V.,66153026.0,newarmstrong
Neway Valve (Europe) B.V.,54109922.0,neway valve
Neways Advanced Applications B.V.,32068209.0,neways advanced applications
Neways B.V.,17056612.0,neways
Neways Expanding Technologies B.V.,17056659.0,neways expanding technologies
Neways Leeuwarden B.V.,1062900.0,neways leeuwarden
Neways Technologies B.V.,17105693.0,neways technologies
NewCold Coöperatief U.A.,55703623.0,newcold coperatief ua
NewCold Development B.V.,85003557.0,newcold development
NewCold Digital B.V.,11067777.0,newcold digital
